"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","27.80","26.55","28.49","25.50","8.30M","4.28%"
"05/01/2025","26.66","24.70","27.75","19.52","38.40M","9.58%"
"04/01/2025","24.33","25.15","30.35","21.70","75.69M","-3.45%"
"03/01/2025","25.20","25.20","27.25","24.32","16.20M","0.76%"
"02/01/2025","25.01","27.50","28.89","24.10","27.55M","-7.75%"
"01/01/2025","27.11","28.90","37.40","26.70","166.18M","-2.31%"
"12/01/2024","27.75","18.70","27.75","18.61","68.31M","49.11%"
"11/01/2024","18.61","16.30","19.30","15.81","49.43M","15.30%"
"10/01/2024","16.14","14.00","18.40","13.91","60.57M","15.45%"
"09/01/2024","13.98","13.05","15.30","12.55","28.82M","6.07%"
"08/01/2024","13.18","14.85","15.31","12.95","32.86M","-10.34%"
"07/01/2024","14.70","12.70","16.66","12.70","66.98M","15.57%"
"06/01/2024","12.72","13.29","13.61","11.25","23.15M","-2.53%"
"05/01/2024","13.05","10.30","14.82","10.00","101.29M","27.32%"
"04/01/2024","10.25","9.13","11.40","8.71","29.13M","15.82%"
"03/01/2024","8.85","8.74","10.05","8.61","23.53M","1.72%"
"02/01/2024","8.70","8.87","9.58","7.60","18.35M","-3.87%"
"01/01/2024","9.05","10.15","10.58","8.75","12.34M","-11.53%"
"12/01/2023","10.23","10.20","12.49","9.01","66.61M","1.29%"
"11/01/2023","10.10","8.75","10.77","8.66","61.89M","13.61%"
"10/01/2023","8.89","7.90","9.15","7.79","13.84M","12.82%"
"09/01/2023","7.88","7.80","8.15","7.64","1.75M","1.16%"
"08/01/2023","7.79","9.35","10.45","7.50","35.83M","-13.64%"
"07/01/2023","9.02","7.99","10.00","7.75","24.57M","21.89%"